HP,Pavilion,Gaming,899.99,AMD,Ryzen 5,5600H,6,4.2,8,512,NVIDIA,GeForce GTX 1650,3,Windows 10,15.6,1920,1080,FALSE,4.37,8,5,5,7,https://www.bestbuy.ca/en-ca/product/hp-pavilion-15-6-gaming-laptop-shadow-black-amd-ryzen-5-5600h-512gb-ssd-8gb-ram-gtx-1650/15539603
MSI,GF63,Gaming ,799.99,Intel,i5,10500H,6,2.5,8,256,NVIDIA ,GeForce GTX1650,4,Windows 10,15.6,1920,1080,FALSE,3.86,7,7,6,7,https://www.bestbuy.ca/en-ca/product/hp-15-6-touchscreen-laptop-natural-silver-amd-ryzen-5-5500u-512gb-ssd-12gb-ram-windows-10/15442025
ASUS,VivoBook K513,Work,749.99,Intel,i5,1135G7,4,2.4,12,512,Intel,Iris Xe Graphics,4,Windows 10,15.6,1920,1080,FALSE,3.99,9,5,6,6,https://www.bestbuy.ca/en-ca/product/asus-vivobook-k513-15-6-laptop-indie-black-intel-core-i5-1135g7-512gb-ssd-12gb-ram-win-10-open-box/15821277
ASUS,VivoBook M513,Work,949.99,AMD,Ryzen 7 ,5700U,8,1.8,18,512,AMD,Radeon Graphics,4,Windows 10,15.6,1920,1080,FALSE,3.99,9,6,7,6,https://www.bestbuy.ca/en-ca/product/asus-vivobook-m513-15-6-oled-laptop-indie-black-amd-ryzen-7-5700u-512gb-ssd-16gb-ram-windows-10/15847278
HP,ENVY,Work,899.99,Intel,Evo i5,1135G7,4,4.2,8,512,Intel,Iris Xe Graphics,3,Windows 10,13.3,1920,1080,FALSE,2.87,8,7,5,6,https://www.bestbuy.ca/en-ca/product/hp-envy-13-3-laptop-natural-silver-intel-evo-i5-1135g7-512gb-ssd-8gb-ram-windows-10/15415120
Lenovo,IdeaPad 3,Work,999.99,Intel,i7,1165G7,4,2.8,12,512,Intel,Iris Xe Graphics,3,Windows 11,15.6,1920,1080,FALSE,3.75,8,5,6,6,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-3-15-6-laptop-sand-intel-core-i7-1165g7-512gb-ssd-12gb-ram-windows-11/15701036
HP,2-in-1 Laptop,Work,899.99,AMD,Ryzen 5,5600U,6,4.2,8,512,AMD,Radeon Graphics,3,Windows 11,13.3,1920,1080,TRUE,2.87,8,6,5,6,https://www.bestbuy.ca/en-ca/product/hp-13-3-touchscreen-2-in-1-laptop-black-aluminum-amd-ryzen-5-5600u-512gb-ssd-8gb-ram-win11-home/15736608
MSI,Modern,Work,529.95,Intel,i3,10110U,4,2.1,8,128,Intel,UHD Graphics,3,Windows 10,14.0,1920,1080,FALSE,2.87,7,7,5,6,https://www.bestbuy.ca/en-ca/product/msi-modern-14-laptop-carbon-grey-intel-core-i3-10110u-128gb-ssd-8gb-ram-windows-10/15618553
HP,HP Pavilion x360,Work,1399.99,Intel,i7,1165G7,4,4.7,16,1000,Intel,Iris Xe Graphics,3,Windows 11,15.6,1920,1080,TRUE,5.56,8,7,7,6,https://www.bestbuy.ca/en-ca/product/hp-pavilion-x360-15-6-touchscreen-2-in-1-laptop-silver-intel-core-i7-1165g7-1tb-ssd-16gb-ram-win-11/15963920 
Asus,ASUS ROG Strix G15,Gaming,1499.99,AMD,Ryzen 9,5900HX,8,3.3,16,512,NVIDIA,GeForce RTX 3050,4,Windows 10,15.6,1920,1080,FALSE,4.61,9,8,7,7,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-g15-15-6-gaming-laptop-amd-ryzen-9-5900hx-512gb-ssd-16gb-ram-rtx-3050-only-at-best-buy/15481571 
Apple,Apple MacBook Air,Work,1299.99,Apple,M1,M1,8,3.3,8,256,Apple,Integrated,2,macOS,13.3,2560,1600,TRUE,2.84,9,7,5,8,https://www.bestbuy.ca/en-ca/product/apple-macbook-air-13-3-w-touch-id-fall-2020-space-grey-apple-m1-chip-256gb-ssd-8gb-ram-en/15136919
MSI,MSI Katana GF76,Gaming,1399.99,Intel,i7,11800H,8,2.4,16,512,NVIDIA,GeForce RTX3050 Ti,4,Windows 10,17.3,1920,1080,FALSE,5.03,7,6,7,7,https://www.bestbuy.ca/en-ca/product/msi-katana-gf76-17-3-gaming-laptop-intel-core-i7-11800h-512gb-ssd-16gb-ram-rtx-3050-ti/15464218 
Asus,ASUS TUF Dash 15,Gaming,1599.99,Intel,i7,11370H,4,3.3,16,512,NVIDIA,GeForce RTX 3070,4,Windows 10,15.6,1920,1080,FALSE,4.41,9,6,7,7,https://www.bestbuy.ca/en-ca/product/asus-tuf-dash-15-15-6-gaming-laptop-eclipse-grey-intel-core-i7-11370h-512gb-ssd-16gb-ram-rtx-3070/15263761 
HP,HP ENVY x360,Work,1099.99,Intel,i5,1155G7,4,2.5,8,1000,Intel,Iris Xe Graphics,3,Windows 11,15.6,1920,1080,TRUE,4.01,8,7,5,6,https://www.bestbuy.ca/en-ca/product/hp-envy-x360-15-6-touchscreen-2-in-1-laptop-silver-intel-core-i5-1155g7-1tb-ssd-8gb-ram-win11-home/15736607 
LG,LG Gram,Work,1799.99,Intel,i7,1165G7,4,2.8,16,1000,Intel,Iris Xe Graphics,3,Windows 10,17.0,2560,1600,FALSE,2.98,6,8,7,8,https://www.bestbuy.ca/en-ca/product/lg-gram-17-laptop-obsidian-black-intel-evo-core-i7-1165g7-1tb-ssd-16gb-ram-en-only-at-best-buy/15299068 
Acer,Acer Spin,Work,1199.99,Intel,i5,1135G7,4,2.4,8,512,Intel,Iris Xe Graphics,2,Windows 11,13.3,2560,1600,TRUE,3.09,7,8,5,8,https://www.bestbuy.ca/en-ca/product/acer-spin-13-3-touchscreen-2-in-1-laptop-silver-intel-evo-i5-1135g7-512gb-ssd-8gb-ram-windows-11/15743202 
Asus,ASUS ZenBook Flip 13 OLED,Work,1299.99,Intel,i7,1165G7,4,2.8,16,1000,Intel,Iris Xe Graphics,3,Windows 11,13.3,1920,1080,TRUE,2.89,9,7,7,6,https://www.bestbuy.ca/en-ca/product/asus-zenbook-flip-13-oled-13-3-2-in-1-laptop-grey-intel-evo-i7-1165g7-512gb-ssd-16gb-ram-win-11/15749052 
